Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","032","Argentina","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2020","2020","7021","Annual value","","126.98","E","Estimated value"
"PP","Producer Prices","032","Argentina","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2021","2021","7021","Annual value","","141.47","E","Estimated value"
"PP","Producer Prices","032","Argentina","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2022","2022","7021","Annual value","","157.6","E","Estimated value"
"PP","Producer Prices","032","Argentina","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2023","2023","7021","Annual value","","156.73","E","Estimated value"
"PP","Producer Prices","032","Argentina","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2020","2020","7021","Annual value","","273.65","E","Estimated value"
"PP","Producer Prices","032","Argentina","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2021","2021","7021","Annual value","","311.98","E","Estimated value"
"PP","Producer Prices","032","Argentina","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2022","2022","7021","Annual value","","359.63","E","Estimated value"
"PP","Producer Prices","032","Argentina","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2023","2023","7021","Annual value","","400.75","E","Estimated value"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","LCU","41.4","A","Official value"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","LCU","41.3","A","Official value"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","LCU","48","A","Official value"
"PP","Producer Prices","036","Australia","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","LCU","46.4","A","Official value"
"PP","Producer Prices","036","Australia","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","SLC","41.4","A","Official value"
"PP","Producer Prices","036","Australia","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","SLC","41.3","A","Official value"
"PP","Producer Prices","036","Australia","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","SLC","48","A","Official value"
"PP","Producer Prices","036","Australia","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","SLC","46.4","A","Official value"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","USD","28.5","A","Official value"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","USD","31","A","Official value"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","USD","33.3","A","Official value"
"PP","Producer Prices","036","Australia","5532","Producer Price (USD/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","USD","30.8","A","Official value"
"PP","Producer Prices","036","Australia","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2020","2020","7021","Annual value","","106.13","E","Estimated value"
"PP","Producer Prices","036","Australia","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2021","2021","7021","Annual value","","105.79","E","Estimated value"
"PP","Producer Prices","036","Australia","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2022","2022","7021","Annual value","","123.08","E","Estimated value"
"PP","Producer Prices","036","Australia","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2023","2023","7021","Annual value","","118.97","E","Estimated value"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01199.90","Cereals n.e.c.","2022","2022","7021","Annual value","USD","123533.4","A","Official value"
"PP","Producer Prices","076","Brazil","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","LCU","80.1","A","Official value"
"PP","Producer Prices","076","Brazil","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","LCU","105.2","A","Official value"
"PP","Producer Prices","076","Brazil","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","LCU","129.4","A","Official value"
"PP","Producer Prices","076","Brazil","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","LCU","130.3","A","Official value"
"PP","Producer Prices","076","Brazil","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","SLC","80.1","A","Official value"
"PP","Producer Prices","076","Brazil","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","SLC","105.2","A","Official value"
"PP","Producer Prices","076","Brazil","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","SLC","129.4","A","Official value"
"PP","Producer Prices","076","Brazil","5531","Producer Price (SLC/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","SLC","130.3","A","Official value"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","USD","15.5","A","Official value"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01802","Sugar cane","2021","2021","7021","Annual value","USD","19.5","A","Official value"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01802","Sugar cane","2022","2022","7021","Annual value","USD","25.1","A","Official value"
"PP","Producer Prices","076","Brazil","5532","Producer Price (USD/tonne)","01802","Sugar cane","2023","2023","7021","Annual value","USD","26.1","A","Official value"
"PP","Producer Prices","076","Brazil","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2020","2020","7021","Annual value","","121.19","E","Estimated value"
"PP","Producer Prices","076","Brazil","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2021","2021","7021","Annual value","","159.18","E","Estimated value"
"PP","Producer Prices","076","Brazil","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2022","2022","7021","Annual value","","195.85","E","Estimated value"
"PP","Producer Prices","076","Brazil","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2023","2023","7021","Annual value","","197.17","E","Estimated value"
"PP","Producer Prices","231","Ethiopia","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2020","2020","7021","Annual value","","124.84","E","Estimated value"
"PP","Producer Prices","231","Ethiopia","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2021","2021","7021","Annual value","","161.32","E","Estimated value"
"PP","Producer Prices","231","Ethiopia","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2022","2022","7021","Annual value","","149.28","E","Estimated value"
"PP","Producer Prices","231","Ethiopia","5539","Producer Price Index (2014-2016 = 100)","01199.90","Cereals n.e.c.","2023","2023","7021","Annual value","","190.66","E","Estimated value"
"PP","Producer Prices","231","Ethiopia","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2020","2020","7021","Annual value","","133.01","E","Estimated value"
"PP","Producer Prices","231","Ethiopia","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2021","2021","7021","Annual value","","144.11","E","Estimated value"
"PP","Producer Prices","231","Ethiopia","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2022","2022","7021","Annual value","","174.34","E","Estimated value"
"PP","Producer Prices","231","Ethiopia","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2023","2023","7021","Annual value","","196.27","E","Estimated value"
"PP","Producer Prices","356","India","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2020","2020","7021","Annual value","","114.82","E","Estimated value"
"PP","Producer Prices","356","India","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2021","2021","7021","Annual value","","120.3","E","Estimated value"
"PP","Producer Prices","356","India","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2022","2022","7021","Annual value","","122.69","E","Estimated value"
"PP","Producer Prices","356","India","5539","Producer Price Index (2014-2016 = 100)","01802","Sugar cane","2023","2023","7021","Annual value","","122.85","E","Estimated value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7021","Annual value","LCU","3707","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7001","January","LCU","12000","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7002","February","LCU","10000","A","Official value"
"PP","Producer Prices","404","Kenya","5530","Producer Price (LCU/tonne)","01802","Sugar cane","2020","2020","7003","March","LCU","10000","A","Official value"
