Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","0113","Rice","2020","2020","t","185.69","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","0113","Rice","2020","2020","1000 USD","204","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","0113","Rice","2021","2021","t","23.18","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","0113","Rice","2021","2021","1000 USD","60","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","0113","Rice","2022","2022","t","213.12","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","0113","Rice","2022","2022","1000 USD","308","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","0113","Rice","2023","2023","t","137.1","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","0113","Rice","2023","2023","1000 USD","119","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","23161.02","Rice, milled","2020","2020","t","8837.96","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","23161.02","Rice, milled","2020","2020","1000 USD","4415","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5910","Export quantity","23161.02","Rice, milled","2020","2020","t","249767.12","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5922","Export value","23161.02","Rice, milled","2020","2020","1000 USD","119719","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","23161.02","Rice, milled","2021","2021","t","1611.26","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","23161.02","Rice, milled","2021","2021","1000 USD","1066","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5910","Export quantity","23161.02","Rice, milled","2021","2021","t","200619.91","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5922","Export value","23161.02","Rice, milled","2021","2021","1000 USD","104863","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","23161.02","Rice, milled","2022","2022","t","1172.93","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","23161.02","Rice, milled","2022","2022","1000 USD","737","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5910","Export quantity","23161.02","Rice, milled","2022","2022","t","229396.69","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5922","Export value","23161.02","Rice, milled","2022","2022","1000 USD","114362","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","23161.02","Rice, milled","2023","2023","t","218.14","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","23161.02","Rice, milled","2023","2023","1000 USD","366","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5910","Export quantity","23161.02","Rice, milled","2023","2023","t","185265.11","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5922","Export value","23161.02","Rice, milled","2023","2023","1000 USD","113203","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2020","2020","t","9046.23","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","F0030","Rice, paddy (rice milled equivalent)","2020","2020","1000 USD","4770","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5910","Export quantity","F0030","Rice, paddy (rice milled equivalent)","2020","2020","t","329294.25","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5922","Export value","F0030","Rice, paddy (rice milled equivalent)","2020","2020","1000 USD","154090","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5610","Import quantity","F0030","Rice, paddy (rice milled equivalent)","2021","2021","t","2200.63","A","Official value",""
"TCL","Crops and livestock products","032","Argentina","5622","Import value","F0030","Rice, paddy (rice milled equivalent)","2021","2021","1000 USD","1424","A","Official value",""
