Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1723","Sugar Crops Primary","2020","2020","kg/ha","40902.7","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1723","Sugar Crops Primary","2020","2020","t","17500000","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1723","Sugar Crops Primary","2021","2021","kg/ha","37150.9","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1723","Sugar Crops Primary","2021","2021","t","16530000","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1723","Sugar Crops Primary","2022","2022","kg/ha","33872.4","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1723","Sugar Crops Primary","2022","2022","t","15500000","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1723","Sugar Crops Primary","2023","2023","kg/ha","30998.9","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1723","Sugar Crops Primary","2023","2023","t","14486706.89","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1729","Treenuts, Total","2020","2020","kg/ha","1279.8","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1729","Treenuts, Total","2020","2020","t","19162.24","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1729","Treenuts, Total","2021","2021","kg/ha","1276.1","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1729","Treenuts, Total","2021","2021","t","19196.48","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1729","Treenuts, Total","2022","2022","kg/ha","1285.2","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1729","Treenuts, Total","2022","2022","t","19227.75","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1729","Treenuts, Total","2023","2023","kg/ha","1280.2","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1729","Treenuts, Total","2023","2023","t","19200.47","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1735","Vegetables Primary","2020","2020","kg/ha","21769.7","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1735","Vegetables Primary","2020","2020","t","3705709.44","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1735","Vegetables Primary","2021","2021","kg/ha","22524.4","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1735","Vegetables Primary","2021","2021","t","3804840.54","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1735","Vegetables Primary","2022","2022","kg/ha","22900.7","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1735","Vegetables Primary","2022","2022","t","3885371.08","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","F1735","Vegetables Primary","2023","2023","kg/ha","22947.8","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","F1735","Vegetables Primary","2023","2023","t","3956097.03","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1723","Sugar Crops Primary","2020","2020","kg/ha","82645.5","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1723","Sugar Crops Primary","2020","2020","t","30283457","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1723","Sugar Crops Primary","2021","2021","kg/ha","85862.6","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1723","Sugar Crops Primary","2021","2021","t","31147532","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1723","Sugar Crops Primary","2022","2022","kg/ha","85251.4","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1723","Sugar Crops Primary","2022","2022","t","28683939.82","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1723","Sugar Crops Primary","2023","2023","kg/ha","98519.3","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1723","Sugar Crops Primary","2023","2023","t","32605558","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1729","Treenuts, Total","2020","2020","kg/ha","3139.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1729","Treenuts, Total","2020","2020","t","315015.78","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1729","Treenuts, Total","2021","2021","kg/ha","3235.1","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1729","Treenuts, Total","2021","2021","t","393426","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1729","Treenuts, Total","2022","2022","kg/ha","3431.3","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1729","Treenuts, Total","2022","2022","t","445661","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1729","Treenuts, Total","2023","2023","kg/ha","3452.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1729","Treenuts, Total","2023","2023","t","386605","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1735","Vegetables Primary","2020","2020","kg/ha","26657.2","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1735","Vegetables Primary","2020","2020","t","1766868.77","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1735","Vegetables Primary","2021","2021","kg/ha","26594.9","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1735","Vegetables Primary","2021","2021","t","2223100","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1735","Vegetables Primary","2022","2022","kg/ha","27018.6","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1735","Vegetables Primary","2022","2022","t","2106792","A","Official value",""
"QCL","Crops and livestock products","036","Australia","5412","Yield","F1735","Vegetables Primary","2023","2023","kg/ha","25848","E","Estimated value",""
"QCL","Crops and livestock products","036","Australia","5510","Production","F1735","Vegetables Primary","2023","2023","t","1983154","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1723","Sugar Crops Primary","2020","2020","kg/ha","75636.3","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1723","Sugar Crops Primary","2020","2020","t","756070576","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1723","Sugar Crops Primary","2021","2021","kg/ha","71773.4","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1723","Sugar Crops Primary","2021","2021","t","715679276","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1723","Sugar Crops Primary","2022","2022","kg/ha","73434.9","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1723","Sugar Crops Primary","2022","2022","t","725729052","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1723","Sugar Crops Primary","2023","2023","kg/ha","77900.9","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1723","Sugar Crops Primary","2023","2023","t","782058236","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1729","Treenuts, Total","2020","2020","kg/ha","414.2","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1729","Treenuts, Total","2020","2020","t","179661.4","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1729","Treenuts, Total","2021","2021","kg/ha","351.3","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1729","Treenuts, Total","2021","2021","t","152840.37","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","F1729","Treenuts, Total","2022","2022","kg/ha","448.7","A","Official value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","F1729","Treenuts, Total","2022","2022","t","194558.83","A","Official value",""
